"","week","weekly_rank","show_title","weekly_hours_viewed","runtime","weekly_views","cumulative_weeks_in_top_10","is_staggered_launch","awards","genre_Dramas","genre_Comedies","genre_International","english"
"285","2021-08-29",9,"The Kissing Booth 3",9560000,2.0833,4588873.42197475,3,"false",FALSE,FALSE,TRUE,FALSE,TRUE
"286","2021-08-29",1,"Black Island",6570000,1.65,3981818.18181818,2,"false",FALSE,FALSE,FALSE,TRUE,FALSE
"287","2021-08-29",2,"Out of my league",5790000,1.4333,4039628.82857741,2,"false",FALSE,TRUE,TRUE,TRUE,FALSE
"288","2021-08-29",3,"The Secret Diary of an Exchange Student",5090000,1.4333,3551245.37779948,2,"false",FALSE,FALSE,TRUE,TRUE,FALSE
"289","2021-08-29",4,"Blood Red Sky",3020000,2,1510000,6,"false",FALSE,FALSE,FALSE,TRUE,FALSE
"290","2021-08-29",5,"Rurouni Kenshin: The Beginning",2280000,1.75,1302857.14285714,5,"false",FALSE,FALSE,FALSE,TRUE,FALSE
"291","2021-08-29",6,"The Last Mercenary",2e+06,1.6667,1199976.00047999,5,"false",FALSE,FALSE,TRUE,TRUE,FALSE
"292","2021-08-29",8,"Mimi",1510000,1.4333,1053512.87239238,5,"false",FALSE,TRUE,TRUE,TRUE,FALSE
"293","2021-08-29",9,"Bartkowiak",1460000,2.1,695238.095238095,3,"false",FALSE,FALSE,FALSE,TRUE,FALSE
"294","2021-08-29",10,"Shiny_Flakes: The Teenage Drug Lord",1440000,2.2333,644785.743070792,4,"false",FALSE,FALSE,FALSE,TRUE,FALSE
"295","2021-08-22",1,"Sweet Girl",57160000,1.4667,38971841.5490557,1,"false",FALSE,TRUE,FALSE,FALSE,TRUE
"296","2021-08-22",2,"The Kissing Booth 3",26170000,2,13085000,2,"false",FALSE,FALSE,TRUE,FALSE,TRUE
"297","2021-08-22",3,"Beckett",23870000,1.6667,14321713.5657287,2,"false",FALSE,FALSE,FALSE,FALSE,TRUE
"298","2021-08-22",4,"Vivo",21960000,2,10980000,3,"false",FALSE,FALSE,FALSE,FALSE,TRUE
"299","2021-08-22",5,"The Loud House Movie",13860000,2.0833,6652906.44650314,1,"false",FALSE,FALSE,TRUE,FALSE,TRUE
"300","2021-08-22",7,"Hotel Transylvania 3: Summer Vacation",8550000,1.6667,5129897.40205196,3,"false",FALSE,FALSE,TRUE,FALSE,TRUE
"301","2021-08-22",10,"Resort to Love",6320000,1.75,3611428.57142857,4,"false",FALSE,FALSE,TRUE,FALSE,TRUE
"302","2021-08-22",1,"Black Island",17330000,2.2333,7759817.31070613,1,"false",FALSE,FALSE,FALSE,TRUE,FALSE
"303","2021-08-22",2,"The Secret Diary of an Exchange Student",7910000,1.75,4520000,1,"false",FALSE,FALSE,TRUE,TRUE,FALSE
"304","2021-08-22",3,"Out of my league",7120000,2,3560000,1,"false",FALSE,TRUE,TRUE,TRUE,FALSE
"305","2021-08-22",4,"Blood Red Sky",4520000,1.9667,2298266.13108252,5,"false",FALSE,FALSE,FALSE,TRUE,FALSE
"306","2021-08-22",5,"Rurouni Kenshin: The Beginning",3630000,2.1,1728571.42857143,4,"false",FALSE,FALSE,FALSE,TRUE,FALSE
"307","2021-08-22",6,"The Last Mercenary",3340000,1.4333,2330286.75085467,4,"false",FALSE,FALSE,TRUE,TRUE,FALSE
"308","2021-08-22",9,"Mimi",2340000,2,1170000,4,"false",FALSE,TRUE,TRUE,TRUE,FALSE
"309","2021-08-22",10,"Shiny_Flakes: The Teenage Drug Lord",2250000,1.4333,1569803.94892904,3,"false",FALSE,FALSE,FALSE,TRUE,FALSE
"310","2021-08-15",1,"The Kissing Booth 3",90860000,2.1,43266666.6666667,1,"false",FALSE,FALSE,TRUE,FALSE,TRUE
"311","2021-08-15",2,"Vivo",37050000,1.4667,25260789.5275107,2,"false",FALSE,FALSE,FALSE,FALSE,TRUE
"312","2021-08-15",3,"Beckett",23580000,1.7333,13604107.7713033,1,"false",FALSE,FALSE,FALSE,FALSE,TRUE
"313","2021-08-15",4,"Hotel Transylvania 3: Summer Vacation",21460000,1.75,12262857.1428571,2,"false",FALSE,FALSE,TRUE,FALSE,TRUE
"314","2021-08-15",5,"Aftermath",15870000,1.65,9618181.81818182,2,"false",FALSE,FALSE,FALSE,FALSE,TRUE
"315","2021-08-15",6,"Resort to Love",9860000,1.8667,5282048.53484759,3,"false",FALSE,FALSE,TRUE,FALSE,TRUE
"316","2021-08-15",7,"The Kissing Booth",8590000,1.6333,5259291.0059389,1,"false",FALSE,FALSE,TRUE,FALSE,TRUE
"317","2021-08-15",8,"The Kissing Booth 2",8370000,1.4333,5839670.69001605,1,"false",FALSE,FALSE,TRUE,FALSE,TRUE
"318","2021-08-15",9,"Dead Man Down",7580000,1.8667,4060641.77425403,2,"false",FALSE,FALSE,FALSE,FALSE,TRUE
"319","2021-08-15",10,"Untold: Malice at the Palace",6450000,1.5167,4252653.78782884,1,"false",FALSE,FALSE,FALSE,FALSE,TRUE
"320","2021-08-15",1,"The Swarm",11470000,2,5735000,2,"false",FALSE,FALSE,FALSE,TRUE,FALSE
"321","2021-08-15",2,"The Last Mercenary",7570000,1.75,4325714.28571429,3,"false",FALSE,FALSE,TRUE,TRUE,FALSE
"322","2021-08-15",3,"Rurouni Kenshin: The Beginning",6550000,2.0833,3144050.30480488,3,"false",FALSE,FALSE,FALSE,TRUE,FALSE
"323","2021-08-15",4,"Blood Red Sky",6470000,2.1,3080952.38095238,4,"false",FALSE,FALSE,FALSE,TRUE,FALSE
"324","2021-08-15",6,"Mimi",3630000,1.8667,1944608.13199764,3,"false",FALSE,TRUE,TRUE,TRUE,FALSE
"325","2021-08-15",7,"Shiny_Flakes: The Teenage Drug Lord",3440000,1.6667,2063958.72082558,2,"false",FALSE,FALSE,FALSE,TRUE,FALSE
"326","2021-08-15",8,"Rurouni Kenshin: The Final",2820000,1.6667,1691966.16067679,3,"false",FALSE,FALSE,FALSE,TRUE,FALSE
"327","2021-08-15",9,"Navarasa",2800000,2,1400000,2,"false",FALSE,FALSE,FALSE,FALSE,FALSE
"328","2021-08-15",10,"Kingdom: Ashin of the North",2190000,2.1,1042857.14285714,4,"false",FALSE,FALSE,FALSE,TRUE,FALSE
"329","2021-08-08",1,"Aftermath",24200000,1.75,13828571.4285714,1,"false",FALSE,FALSE,FALSE,FALSE,TRUE
"330","2021-08-08",2,"Resort to Love",23480000,1.4333,16381776.3203795,2,"false",FALSE,FALSE,TRUE,FALSE,TRUE
"331","2021-08-08",3,"Vivo",21940000,1.4333,15307332.7286681,1,"false",FALSE,FALSE,FALSE,FALSE,TRUE
"332","2021-08-08",4,"The Vault",10870000,2.0833,5217683.48293573,1,"false",FALSE,FALSE,FALSE,TRUE,TRUE
"333","2021-08-08",5,"The Losers",8040000,2.1,3828571.42857143,1,"false",FALSE,FALSE,FALSE,FALSE,TRUE
"334","2021-08-08",6,"The Last Letter From Your Lover",6850000,1.8667,3669577.32897627,3,"false",FALSE,TRUE,FALSE,FALSE,TRUE
"335","2021-08-08",7,"Hotel Transylvania 3: Summer Vacation",6250000,1.7333,3605838.57381873,1,"false",FALSE,FALSE,TRUE,FALSE,TRUE
"336","2021-08-08",8,"Dead Man Down",5840000,2,2920000,1,"false",FALSE,FALSE,FALSE,FALSE,TRUE
"337","2021-08-08",9,"Wish Dragon",5150000,1.9667,2618599.68475111,5,"false",FALSE,FALSE,TRUE,FALSE,TRUE
"338","2021-08-08",10,"World Trade Center",5050000,2,2525000,1,"false",FALSE,TRUE,FALSE,FALSE,TRUE
"339","2021-08-08",1,"The Last Mercenary",23890000,2.0833,11467383.4781357,2,"false",FALSE,FALSE,TRUE,TRUE,FALSE
"340","2021-08-08",2,"Rurouni Kenshin: The Beginning",15080000,2,7540000,2,"false",FALSE,FALSE,FALSE,TRUE,FALSE
"341","2021-08-08",3,"Blood Red Sky",13300000,1.6667,7979840.40319194,3,"false",FALSE,FALSE,FALSE,TRUE,FALSE
"342","2021-08-08",4,"The Swarm",11380000,1.6333,6967489.13243127,1,"false",FALSE,FALSE,FALSE,TRUE,FALSE
"343","2021-08-08",5,"Mimi",5140000,1.7333,2965441.64310852,2,"false",FALSE,TRUE,TRUE,TRUE,FALSE
"344","2021-08-08",6,"Bartkowiak",4570000,1.5167,3013120.59075625,2,"false",FALSE,FALSE,FALSE,TRUE,FALSE
"345","2021-08-08",8,"Navarasa",3520000,2,1760000,1,"false",FALSE,FALSE,FALSE,FALSE,FALSE
"346","2021-08-08",9,"Kingdom: Ashin of the North",3450000,1.5167,2274675.28186194,3,"false",FALSE,FALSE,FALSE,TRUE,FALSE
"347","2021-08-08",10,"Shiny_Flakes: The Teenage Drug Lord",3340000,1.4667,2277220.97225063,1,"false",FALSE,FALSE,FALSE,TRUE,FALSE
"348","2021-08-01",1,"Resort to Love",28050000,2.0167,13908861.0105618,1,"false",FALSE,FALSE,TRUE,FALSE,TRUE
"349","2021-08-01",2,"The Last Letter From Your Lover",18890000,1.6,11806250,2,"false",FALSE,TRUE,FALSE,FALSE,TRUE
"350","2021-08-01",3,"Trollhunters: Rise of the Titans",8960000,2,4480000,2,"false",FALSE,FALSE,FALSE,FALSE,TRUE
"351","2021-08-01",4,"Fear Street Part 1: 1994",6570000,1.4667,4479443.64900798,5,"false",FALSE,FALSE,FALSE,FALSE,TRUE
"352","2021-08-01",5,"Wish Dragon",6290000,1.65,3812121.21212121,4,"false",FALSE,FALSE,TRUE,FALSE,TRUE
